"candidate","township","count","county"
"De La Fuente, d","Keene Ward 2",0,"CHESHIRE COUNTY"
"Delaney, d","Keene Ward 2",0,"CHESHIRE COUNTY"
"Dunlap, d","Keene Ward 2",0,"CHESHIRE COUNTY"
"Ellinger, d","Keene Ward 2",0,"CHESHIRE COUNTY"
"Gabbard, d","Keene Ward 2",31,"CHESHIRE COUNTY"
"Gleiberman, d","Keene Ward 2",0,"CHESHIRE COUNTY"
"Greenstein, d","Keene Ward 2",1,"CHESHIRE COUNTY"
"Harris, d","Keene Ward 2",0,"CHESHIRE COUNTY"
"Hewes, d","Keene Ward 2",0,"CHESHIRE COUNTY"
"Klobuchar, d","Keene Ward 2",209,"CHESHIRE COUNTY"
"Koos, d","Keene Ward 2",3,"CHESHIRE COUNTY"
"Kraus, d","Keene Ward 2",0,"CHESHIRE COUNTY"
"Krichevsky, d","Keene Ward 2",1,"CHESHIRE COUNTY"
"Moroz, d","Keene Ward 2",0,"CHESHIRE COUNTY"
"Patrick, d","Keene Ward 2",5,"CHESHIRE COUNTY"
"Sanders, d","Keene Ward 2",506,"CHESHIRE COUNTY"
"Sestak, d","Keene Ward 2",0,"CHESHIRE COUNTY"
"Sloan, d","Keene Ward 2",0,"CHESHIRE COUNTY"
"Steyer, d","Keene Ward 2",46,"CHESHIRE COUNTY"
"Thistle, d","Keene Ward 2",0,"CHESHIRE COUNTY"
"Torgesen, d","Keene Ward 2",0,"CHESHIRE COUNTY"
"Warren, d","Keene Ward 2",167,"CHESHIRE COUNTY"
"Wells, d","Keene Ward 2",0,"CHESHIRE COUNTY"
"Williamson, d","Keene Ward 2",0,"CHESHIRE COUNTY"
"Yang, d","Keene Ward 2",41,"CHESHIRE COUNTY"
"Scatter","Keene Ward 2",0,"CHESHIRE COUNTY"
"Bennet, d","Keene Ward 3",4,"CHESHIRE COUNTY"
"Biden, d","Keene Ward 3",86,"CHESHIRE COUNTY"
"Booker, d","Keene Ward 3",1,"CHESHIRE COUNTY"
"Boyd, d","Keene Ward 3",0,"CHESHIRE COUNTY"
"Bullock, d","Keene Ward 3",0,"CHESHIRE COUNTY"
"Burke, d","Keene Ward 3",0,"CHESHIRE COUNTY"
"Buttigieg, d","Keene Ward 3",292,"CHESHIRE COUNTY"
"Castro, d","Keene Ward 3",0,"CHESHIRE COUNTY"
"De La Fuente, d","Keene Ward 3",0,"CHESHIRE COUNTY"
"Delaney, d","Keene Ward 3",0,"CHESHIRE COUNTY"
"Dunlap, d","Keene Ward 3",0,"CHESHIRE COUNTY"
"Ellinger, d","Keene Ward 3",0,"CHESHIRE COUNTY"
"Gabbard, d","Keene Ward 3",32,"CHESHIRE COUNTY"
"Gleiberman, d","Keene Ward 3",1,"CHESHIRE COUNTY"
"Greenstein, d","Keene Ward 3",0,"CHESHIRE COUNTY"
"Harris, d","Keene Ward 3",0,"CHESHIRE COUNTY"
"Hewes, d","Keene Ward 3",0,"CHESHIRE COUNTY"
"Klobuchar, d","Keene Ward 3",244,"CHESHIRE COUNTY"
"Koos, d","Keene Ward 3",0,"CHESHIRE COUNTY"
"Kraus, d","Keene Ward 3",0,"CHESHIRE COUNTY"
"Krichevsky, d","Keene Ward 3",0,"CHESHIRE COUNTY"
"Moroz, d","Keene Ward 3",0,"CHESHIRE COUNTY"
"Patrick, d","Keene Ward 3",4,"CHESHIRE COUNTY"
"Sanders, d","Keene Ward 3",391,"CHESHIRE COUNTY"
"Sestak, d","Keene Ward 3",0,"CHESHIRE COUNTY"
"Sloan, d","Keene Ward 3",0,"CHESHIRE COUNTY"
"Steyer, d","Keene Ward 3",33,"CHESHIRE COUNTY"
"Thistle, d","Keene Ward 3",1,"CHESHIRE COUNTY"
"Torgesen, d","Keene Ward 3",0,"CHESHIRE COUNTY"
"Warren, d","Keene Ward 3",131,"CHESHIRE COUNTY"
"Wells, d","Keene Ward 3",0,"CHESHIRE COUNTY"
"Williamson, d","Keene Ward 3",3,"CHESHIRE COUNTY"
"Yang, d","Keene Ward 3",36,"CHESHIRE COUNTY"
"Scatter","Keene Ward 3",0,"CHESHIRE COUNTY"
"Bennet, d","Keene Ward 4",5,"CHESHIRE COUNTY"
"Biden, d","Keene Ward 4",74,"CHESHIRE COUNTY"
"Booker, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"Boyd, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"Bullock, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"Burke, d","Keene Ward 4",1,"CHESHIRE COUNTY"
"Buttigieg, d","Keene Ward 4",329,"CHESHIRE COUNTY"
"Castro, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"De La Fuente, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"Delaney, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"Dunlap, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"Ellinger, d","Keene Ward 4",2,"CHESHIRE COUNTY"
"Gabbard, d","Keene Ward 4",36,"CHESHIRE COUNTY"
"Gleiberman, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"Greenstein, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"Harris, d","Keene Ward 4",1,"CHESHIRE COUNTY"
"Hewes, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"Klobuchar, d","Keene Ward 4",293,"CHESHIRE COUNTY"
"Koos, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"Kraus, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"Krichevsky, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"Moroz, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"Patrick, d","Keene Ward 4",1,"CHESHIRE COUNTY"
"Sanders, d","Keene Ward 4",434,"CHESHIRE COUNTY"
"Sestak, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"Sloan, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"Steyer, d","Keene Ward 4",35,"CHESHIRE COUNTY"
"Thistle, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"Torgesen, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"Warren, d","Keene Ward 4",156,"CHESHIRE COUNTY"
"Wells, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"Williamson, d","Keene Ward 4",0,"CHESHIRE COUNTY"
"Yang, d","Keene Ward 4",40,"CHESHIRE COUNTY"
"Scatter","Keene Ward 4",0,"CHESHIRE COUNTY"
"Bennet, d","Keene Ward 5",4,"CHESHIRE COUNTY"
"Biden, d","Keene Ward 5",99,"CHESHIRE COUNTY"
"Booker, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"Boyd, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"Bullock, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"Burke, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"Buttigieg, d","Keene Ward 5",382,"CHESHIRE COUNTY"
"Castro, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"De La Fuente, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"Delaney, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"Dunlap, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"Ellinger, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"Gabbard, d","Keene Ward 5",37,"CHESHIRE COUNTY"
"Gleiberman, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"Greenstein, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"Harris, d","Keene Ward 5",2,"CHESHIRE COUNTY"
"Hewes, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"Klobuchar, d","Keene Ward 5",284,"CHESHIRE COUNTY"
"Koos, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"Kraus, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"Krichevsky, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"Moroz, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"Patrick, d","Keene Ward 5",2,"CHESHIRE COUNTY"
"Sanders, d","Keene Ward 5",477,"CHESHIRE COUNTY"
"Sestak, d","Keene Ward 5",1,"CHESHIRE COUNTY"
"Sloan, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"Steyer, d","Keene Ward 5",45,"CHESHIRE COUNTY"
"Thistle, d","Keene Ward 5",1,"CHESHIRE COUNTY"
"Torgesen, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"Warren, d","Keene Ward 5",194,"CHESHIRE COUNTY"
"Wells, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"Williamson, d","Keene Ward 5",0,"CHESHIRE COUNTY"
"Yang, d","Keene Ward 5",65,"CHESHIRE COUNTY"
"Scatter","Keene Ward 5",0,"CHESHIRE COUNTY"
"Bennet, d","Marlborough",0,"CHESHIRE COUNTY"
"Biden, d","Marlborough",43,"CHESHIRE COUNTY"
"Booker, d","Marlborough",0,"CHESHIRE COUNTY"
"Boyd, d","Marlborough",0,"CHESHIRE COUNTY"
"Bullock, d","Marlborough",0,"CHESHIRE COUNTY"
"Burke, d","Marlborough",1,"CHESHIRE COUNTY"
"Buttigieg, d","Marlborough",153,"CHESHIRE COUNTY"
"Castro, d","Marlborough",4,"CHESHIRE COUNTY"
"De La Fuente, d","Marlborough",0,"CHESHIRE COUNTY"
"Delaney, d","Marlborough",0,"CHESHIRE COUNTY"
"Dunlap, d","Marlborough",0,"CHESHIRE COUNTY"
"Ellinger, d","Marlborough",0,"CHESHIRE COUNTY"
"Gabbard, d","Marlborough",16,"CHESHIRE COUNTY"
"Gleiberman, d","Marlborough",0,"CHESHIRE COUNTY"
"Greenstein, d","Marlborough",0,"CHESHIRE COUNTY"
"Harris, d","Marlborough",0,"CHESHIRE COUNTY"
"Hewes, d","Marlborough",0,"CHESHIRE COUNTY"
"Klobuchar, d","Marlborough",122,"CHESHIRE COUNTY"
"Koos, d","Marlborough",0,"CHESHIRE COUNTY"
"Kraus, d","Marlborough",0,"CHESHIRE COUNTY"
"Krichevsky, d","Marlborough",0,"CHESHIRE COUNTY"
"Moroz, d","Marlborough",0,"CHESHIRE COUNTY"
"Patrick, d","Marlborough",2,"CHESHIRE COUNTY"
"Sanders, d","Marlborough",158,"CHESHIRE COUNTY"
"Sestak, d","Marlborough",4,"CHESHIRE COUNTY"
"Sloan, d","Marlborough",0,"CHESHIRE COUNTY"
"Steyer, d","Marlborough",25,"CHESHIRE COUNTY"
"Thistle, d","Marlborough",0,"CHESHIRE COUNTY"
"Torgesen, d","Marlborough",1,"CHESHIRE COUNTY"
"Warren, d","Marlborough",71,"CHESHIRE COUNTY"
"Wells, d","Marlborough",0,"CHESHIRE COUNTY"
"Williamson, d","Marlborough",0,"CHESHIRE COUNTY"
"Yang, d","Marlborough",17,"CHESHIRE COUNTY"
"Scatter","Marlborough",0,"CHESHIRE COUNTY"
"Bennet, d","Marlow",0,"CHESHIRE COUNTY"
"Biden, d","Marlow",14,"CHESHIRE COUNTY"
"Booker, d","Marlow",0,"CHESHIRE COUNTY"
"Boyd, d","Marlow",0,"CHESHIRE COUNTY"
"Bullock, d","Marlow",0,"CHESHIRE COUNTY"
"Burke, d","Marlow",0,"CHESHIRE COUNTY"
"Buttigieg, d","Marlow",33,"CHESHIRE COUNTY"
"Castro, d","Marlow",0,"CHESHIRE COUNTY"
"De La Fuente, d","Marlow",0,"CHESHIRE COUNTY"
"Delaney, d","Marlow",0,"CHESHIRE COUNTY"
"Dunlap, d","Marlow",0,"CHESHIRE COUNTY"
"Ellinger, d","Marlow",0,"CHESHIRE COUNTY"
"Gabbard, d","Marlow",7,"CHESHIRE COUNTY"
"Gleiberman, d","Marlow",0,"CHESHIRE COUNTY"
"Greenstein, d","Marlow",0,"CHESHIRE COUNTY"
"Harris, d","Marlow",0,"CHESHIRE COUNTY"
"Hewes, d","Marlow",1,"CHESHIRE COUNTY"
"Klobuchar, d","Marlow",36,"CHESHIRE COUNTY"
"Koos, d","Marlow",0,"CHESHIRE COUNTY"
"Kraus, d","Marlow",0,"CHESHIRE COUNTY"
"Krichevsky, d","Marlow",0,"CHESHIRE COUNTY"
"Moroz, d","Marlow",0,"CHESHIRE COUNTY"
"Patrick, d","Marlow",0,"CHESHIRE COUNTY"
"Sanders, d","Marlow",64,"CHESHIRE COUNTY"
"Sestak, d","Marlow",1,"CHESHIRE COUNTY"
"Sloan, d","Marlow",0,"CHESHIRE COUNTY"
"Steyer, d","Marlow",9,"CHESHIRE COUNTY"
"Thistle, d","Marlow",0,"CHESHIRE COUNTY"
"Torgesen, d","Marlow",0,"CHESHIRE COUNTY"
"Warren, d","Marlow",20,"CHESHIRE COUNTY"
"Wells, d","Marlow",0,"CHESHIRE COUNTY"
"Williamson, d","Marlow",0,"CHESHIRE COUNTY"
"Yang, d","Marlow",2,"CHESHIRE COUNTY"
"Scatter","Marlow",0,"CHESHIRE COUNTY"
"Bennet, d","Nelson",0,"CHESHIRE COUNTY"
"Biden, d","Nelson",10,"CHESHIRE COUNTY"
"Booker, d","Nelson",0,"CHESHIRE COUNTY"
"Boyd, d","Nelson",0,"CHESHIRE COUNTY"
"Bullock, d","Nelson",0,"CHESHIRE COUNTY"
"Burke, d","Nelson",0,"CHESHIRE COUNTY"
"Buttigieg, d","Nelson",28,"CHESHIRE COUNTY"
"Castro, d","Nelson",0,"CHESHIRE COUNTY"
"De La Fuente, d","Nelson",0,"CHESHIRE COUNTY"
"Delaney, d","Nelson",0,"CHESHIRE COUNTY"
"Dunlap, d","Nelson",0,"CHESHIRE COUNTY"
"Ellinger, d","Nelson",0,"CHESHIRE COUNTY"
"Gabbard, d","Nelson",2,"CHESHIRE COUNTY"
"Gleiberman, d","Nelson",0,"CHESHIRE COUNTY"
"Greenstein, d","Nelson",0,"CHESHIRE COUNTY"
"Harris, d","Nelson",0,"CHESHIRE COUNTY"
"Hewes, d","Nelson",0,"CHESHIRE COUNTY"
"Klobuchar, d","Nelson",44,"CHESHIRE COUNTY"
"Koos, d","Nelson",0,"CHESHIRE COUNTY"
"Kraus, d","Nelson",0,"CHESHIRE COUNTY"
"Krichevsky, d","Nelson",0,"CHESHIRE COUNTY"
"Moroz, d","Nelson",0,"CHESHIRE COUNTY"
"Patrick, d","Nelson",0,"CHESHIRE COUNTY"
"Sanders, d","Nelson",94,"CHESHIRE COUNTY"
"Sestak, d","Nelson",0,"CHESHIRE COUNTY"
"Sloan, d","Nelson",0,"CHESHIRE COUNTY"
"Steyer, d","Nelson",6,"CHESHIRE COUNTY"
"Thistle, d","Nelson",0,"CHESHIRE COUNTY"
"Torgesen, d","Nelson",0,"CHESHIRE COUNTY"
"Warren, d","Nelson",24,"CHESHIRE COUNTY"
"Wells, d","Nelson",0,"CHESHIRE COUNTY"
"Williamson, d","Nelson",0,"CHESHIRE COUNTY"
"Yang, d","Nelson",12,"CHESHIRE COUNTY"
"Scatter","Nelson",0,"CHESHIRE COUNTY"
"Bennet, d","Richmond",0,"CHESHIRE COUNTY"
"Biden, d","Richmond",17,"CHESHIRE COUNTY"
"Booker, d","Richmond",0,"CHESHIRE COUNTY"
"Boyd, d","Richmond",0,"CHESHIRE COUNTY"
"Bullock, d","Richmond",0,"CHESHIRE COUNTY"
"Burke, d","Richmond",0,"CHESHIRE COUNTY"
"Buttigieg, d","Richmond",53,"CHESHIRE COUNTY"
"Castro, d","Richmond",0,"CHESHIRE COUNTY"
"De La Fuente, d","Richmond",0,"CHESHIRE COUNTY"
"Delaney, d","Richmond",0,"CHESHIRE COUNTY"
"Dunlap, d","Richmond",0,"CHESHIRE COUNTY"
"Ellinger, d","Richmond",0,"CHESHIRE COUNTY"
"Gabbard, d","Richmond",17,"CHESHIRE COUNTY"
"Gleiberman, d","Richmond",0,"CHESHIRE COUNTY"
"Greenstein, d","Richmond",0,"CHESHIRE COUNTY"
"Harris, d","Richmond",0,"CHESHIRE COUNTY"
"Hewes, d","Richmond",0,"CHESHIRE COUNTY"
"Klobuchar, d","Richmond",44,"CHESHIRE COUNTY"
"Koos, d","Richmond",0,"CHESHIRE COUNTY"
"Kraus, d","Richmond",0,"CHESHIRE COUNTY"
"Krichevsky, d","Richmond",0,"CHESHIRE COUNTY"
"Moroz, d","Richmond",0,"CHESHIRE COUNTY"
"Patrick, d","Richmond",2,"CHESHIRE COUNTY"
"Sanders, d","Richmond",50,"CHESHIRE COUNTY"
"Sestak, d","Richmond",0,"CHESHIRE COUNTY"
"Sloan, d","Richmond",0,"CHESHIRE COUNTY"
"Steyer, d","Richmond",7,"CHESHIRE COUNTY"
"Thistle, d","Richmond",0,"CHESHIRE COUNTY"
"Torgesen, d","Richmond",0,"CHESHIRE COUNTY"
"Warren, d","Richmond",24,"CHESHIRE COUNTY"
"Wells, d","Richmond",0,"CHESHIRE COUNTY"
"Williamson, d","Richmond",0,"CHESHIRE COUNTY"
"Yang, d","Richmond",10,"CHESHIRE COUNTY"
"Scatter","Richmond",0,"CHESHIRE COUNTY"
"Bennet, d","Rindge",2,"CHESHIRE COUNTY"
"Biden, d","Rindge",92,"CHESHIRE COUNTY"
"Booker, d","Rindge",0,"CHESHIRE COUNTY"
"Boyd, d","Rindge",0,"CHESHIRE COUNTY"
"Bullock, d","Rindge",0,"CHESHIRE COUNTY"
"Burke, d","Rindge",0,"CHESHIRE COUNTY"
"Buttigieg, d","Rindge",207,"CHESHIRE COUNTY"
"Castro, d","Rindge",0,"CHESHIRE COUNTY"
"De La Fuente, d","Rindge",0,"CHESHIRE COUNTY"
"Delaney, d","Rindge",0,"CHESHIRE COUNTY"
"Dunlap, d","Rindge",0,"CHESHIRE COUNTY"
"Ellinger, d","Rindge",0,"CHESHIRE COUNTY"
"Gabbard, d","Rindge",43,"CHESHIRE COUNTY"
"Gleiberman, d","Rindge",0,"CHESHIRE COUNTY"
"Greenstein, d","Rindge",1,"CHESHIRE COUNTY"
"Harris, d","Rindge",1,"CHESHIRE COUNTY"
"Hewes, d","Rindge",0,"CHESHIRE COUNTY"
"Klobuchar, d","Rindge",180,"CHESHIRE COUNTY"
"Koos, d","Rindge",0,"CHESHIRE COUNTY"
"Kraus, d","Rindge",0,"CHESHIRE COUNTY"
"Krichevsky, d","Rindge",0,"CHESHIRE COUNTY"
"Moroz, d","Rindge",0,"CHESHIRE COUNTY"
"Patrick, d","Rindge",2,"CHESHIRE COUNTY"
"Sanders, d","Rindge",325,"CHESHIRE COUNTY"
"Sestak, d","Rindge",0,"CHESHIRE COUNTY"
"Sloan, d","Rindge",0,"CHESHIRE COUNTY"
"Steyer, d","Rindge",42,"CHESHIRE COUNTY"
"Thistle, d","Rindge",0,"CHESHIRE COUNTY"
"Torgesen, d","Rindge",1,"CHESHIRE COUNTY"
"Warren, d","Rindge",56,"CHESHIRE COUNTY"
"Wells, d","Rindge",0,"CHESHIRE COUNTY"
"Williamson, d","Rindge",1,"CHESHIRE COUNTY"
"Yang, d","Rindge",15,"CHESHIRE COUNTY"
"Scatter","Rindge",0,"CHESHIRE COUNTY"
"Bennet, d","Roxbury",0,"CHESHIRE COUNTY"
"Biden, d","Roxbury",7,"CHESHIRE COUNTY"
"Booker, d","Roxbury",0,"CHESHIRE COUNTY"
"Boyd, d","Roxbury",0,"CHESHIRE COUNTY"
"Bullock, d","Roxbury",0,"CHESHIRE COUNTY"
"Burke, d","Roxbury",0,"CHESHIRE COUNTY"
"Buttigieg, d","Roxbury",9,"CHESHIRE COUNTY"
"Castro, d","Roxbury",0,"CHESHIRE COUNTY"
"De La Fuente, d","Roxbury",0,"CHESHIRE COUNTY"
"Delaney, d","Roxbury",0,"CHESHIRE COUNTY"
"Dunlap, d","Roxbury",0,"CHESHIRE COUNTY"
"Ellinger, d","Roxbury",0,"CHESHIRE COUNTY"
"Gabbard, d","Roxbury",4,"CHESHIRE COUNTY"
"Gleiberman, d","Roxbury",0,"CHESHIRE COUNTY"
"Greenstein, d","Roxbury",0,"CHESHIRE COUNTY"
"Harris, d","Roxbury",0,"CHESHIRE COUNTY"
"Hewes, d","Roxbury",0,"CHESHIRE COUNTY"
"Klobuchar, d","Roxbury",17,"CHESHIRE COUNTY"
"Koos, d","Roxbury",0,"CHESHIRE COUNTY"
"Kraus, d","Roxbury",0,"CHESHIRE COUNTY"
"Krichevsky, d","Roxbury",0,"CHESHIRE COUNTY"
"Moroz, d","Roxbury",0,"CHESHIRE COUNTY"
"Patrick, d","Roxbury",0,"CHESHIRE COUNTY"
"Sanders, d","Roxbury",24,"CHESHIRE COUNTY"
"Sestak, d","Roxbury",0,"CHESHIRE COUNTY"
"Sloan, d","Roxbury",0,"CHESHIRE COUNTY"
"Steyer, d","Roxbury",1,"CHESHIRE COUNTY"
"Thistle, d","Roxbury",0,"CHESHIRE COUNTY"
"Torgesen, d","Roxbury",0,"CHESHIRE COUNTY"
"Warren, d","Roxbury",5,"CHESHIRE COUNTY"
"Wells, d","Roxbury",0,"CHESHIRE COUNTY"
"Williamson, d","Roxbury",0,"CHESHIRE COUNTY"
"Yang, d","Roxbury",2,"CHESHIRE COUNTY"
"Scatter","Roxbury",0,"CHESHIRE COUNTY"
"Bennet, d","Stoddard",0,"CHESHIRE COUNTY"
"Biden, d","Stoddard",23,"CHESHIRE COUNTY"
"Booker, d","Stoddard",0,"CHESHIRE COUNTY"
"Boyd, d","Stoddard",0,"CHESHIRE COUNTY"
"Bullock, d","Stoddard",1,"CHESHIRE COUNTY"
"Burke, d","Stoddard",1,"CHESHIRE COUNTY"
"Buttigieg, d","Stoddard",45,"CHESHIRE COUNTY"
"Castro, d","Stoddard",1,"CHESHIRE COUNTY"
"De La Fuente, d","Stoddard",0,"CHESHIRE COUNTY"
"Delaney, d","Stoddard",0,"CHESHIRE COUNTY"
"Dunlap, d","Stoddard",0,"CHESHIRE COUNTY"
"Ellinger, d","Stoddard",0,"CHESHIRE COUNTY"
"Gabbard, d","Stoddard",16,"CHESHIRE COUNTY"
"Gleiberman, d","Stoddard",0,"CHESHIRE COUNTY"
"Greenstein, d","Stoddard",0,"CHESHIRE COUNTY"
"Harris, d","Stoddard",0,"CHESHIRE COUNTY"
"Hewes, d","Stoddard",1,"CHESHIRE COUNTY"
"Klobuchar, d","Stoddard",64,"CHESHIRE COUNTY"
"Koos, d","Stoddard",0,"CHESHIRE COUNTY"
"Kraus, d","Stoddard",0,"CHESHIRE COUNTY"
"Krichevsky, d","Stoddard",0,"CHESHIRE COUNTY"
"Moroz, d","Stoddard",0,"CHESHIRE COUNTY"
"Patrick, d","Stoddard",0,"CHESHIRE COUNTY"
"Sanders, d","Stoddard",74,"CHESHIRE COUNTY"
"Sestak, d","Stoddard",0,"CHESHIRE COUNTY"
"Sloan, d","Stoddard",0,"CHESHIRE COUNTY"
"Steyer, d","Stoddard",15,"CHESHIRE COUNTY"
"Thistle, d","Stoddard",0,"CHESHIRE COUNTY"
"Torgesen, d","Stoddard",0,"CHESHIRE COUNTY"
"Warren, d","Stoddard",21,"CHESHIRE COUNTY"
"Wells, d","Stoddard",0,"CHESHIRE COUNTY"
"Williamson, d","Stoddard",0,"CHESHIRE COUNTY"
"Yang, d","Stoddard",19,"CHESHIRE COUNTY"
"Scatter","Stoddard",0,"CHESHIRE COUNTY"
"Bennet, d","Sullivan",0,"CHESHIRE COUNTY"
"Biden, d","Sullivan",9,"CHESHIRE COUNTY"
"Booker, d","Sullivan",0,"CHESHIRE COUNTY"
"Boyd, d","Sullivan",0,"CHESHIRE COUNTY"
"Bullock, d","Sullivan",0,"CHESHIRE COUNTY"
"Burke, d","Sullivan",0,"CHESHIRE COUNTY"
"Buttigieg, d","Sullivan",29,"CHESHIRE COUNTY"
"Castro, d","Sullivan",0,"CHESHIRE COUNTY"
"De La Fuente, d","Sullivan",0,"CHESHIRE COUNTY"
"Delaney, d","Sullivan",0,"CHESHIRE COUNTY"
"Dunlap, d","Sullivan",0,"CHESHIRE COUNTY"
"Ellinger, d","Sullivan",0,"CHESHIRE COUNTY"
"Gabbard, d","Sullivan",4,"CHESHIRE COUNTY"
"Gleiberman, d","Sullivan",0,"CHESHIRE COUNTY"
"Greenstein, d","Sullivan",0,"CHESHIRE COUNTY"
"Harris, d","Sullivan",0,"CHESHIRE COUNTY"
"Hewes, d","Sullivan",0,"CHESHIRE COUNTY"
"Klobuchar, d","Sullivan",35,"CHESHIRE COUNTY"
"Koos, d","Sullivan",0,"CHESHIRE COUNTY"
"Kraus, d","Sullivan",0,"CHESHIRE COUNTY"
"Krichevsky, d","Sullivan",0,"CHESHIRE COUNTY"
"Moroz, d","Sullivan",0,"CHESHIRE COUNTY"
"Patrick, d","Sullivan",0,"CHESHIRE COUNTY"
"Sanders, d","Sullivan",44,"CHESHIRE COUNTY"
"Sestak, d","Sullivan",0,"CHESHIRE COUNTY"
"Sloan, d","Sullivan",0,"CHESHIRE COUNTY"
"Steyer, d","Sullivan",7,"CHESHIRE COUNTY"
"Thistle, d","Sullivan",0,"CHESHIRE COUNTY"
"Torgesen, d","Sullivan",0,"CHESHIRE COUNTY"
"Warren, d","Sullivan",20,"CHESHIRE COUNTY"
"Wells, d","Sullivan",0,"CHESHIRE COUNTY"
"Williamson, d","Sullivan",0,"CHESHIRE COUNTY"
"Yang, d","Sullivan",3,"CHESHIRE COUNTY"
"Scatter","Sullivan",0,"CHESHIRE COUNTY"
"Bennet, d","Surry",0,"CHESHIRE COUNTY"
"Biden, d","Surry",11,"CHESHIRE COUNTY"
"Booker, d","Surry",1,"CHESHIRE COUNTY"
"Boyd, d","Surry",0,"CHESHIRE COUNTY"
"Bullock, d","Surry",0,"CHESHIRE COUNTY"
"Burke, d","Surry",0,"CHESHIRE COUNTY"
"Buttigieg, d","Surry",56,"CHESHIRE COUNTY"
"Castro, d","Surry",0,"CHESHIRE COUNTY"
"De La Fuente, d","Surry",0,"CHESHIRE COUNTY"
"Delaney, d","Surry",0,"CHESHIRE COUNTY"
"Dunlap, d","Surry",0,"CHESHIRE COUNTY"
"Ellinger, d","Surry",0,"CHESHIRE COUNTY"
"Gabbard, d","Surry",7,"CHESHIRE COUNTY"
"Gleiberman, d","Surry",0,"CHESHIRE COUNTY"
"Greenstein, d","Surry",0,"CHESHIRE COUNTY"
"Harris, d","Surry",0,"CHESHIRE COUNTY"
"Hewes, d","Surry",0,"CHESHIRE COUNTY"
"Klobuchar, d","Surry",55,"CHESHIRE COUNTY"
"Koos, d","Surry",0,"CHESHIRE COUNTY"
"Kraus, d","Surry",0,"CHESHIRE COUNTY"
"Krichevsky, d","Surry",0,"CHESHIRE COUNTY"
"Moroz, d","Surry",0,"CHESHIRE COUNTY"
"Patrick, d","Surry",1,"CHESHIRE COUNTY"
"Sanders, d","Surry",47,"CHESHIRE COUNTY"
"Sestak, d","Surry",0,"CHESHIRE COUNTY"
"Sloan, d","Surry",0,"CHESHIRE COUNTY"
"Steyer, d","Surry",7,"CHESHIRE COUNTY"
"Thistle, d","Surry",0,"CHESHIRE COUNTY"
"Torgesen, d","Surry",1,"CHESHIRE COUNTY"
"Warren, d","Surry",20,"CHESHIRE COUNTY"
"Wells, d","Surry",0,"CHESHIRE COUNTY"
"Williamson, d","Surry",0,"CHESHIRE COUNTY"
"Yang, d","Surry",4,"CHESHIRE COUNTY"
"Scatter","Surry",0,"CHESHIRE COUNTY"
"Bennet, d","Swanzey",6,"CHESHIRE COUNTY"
"Biden, d","Swanzey",107,"CHESHIRE COUNTY"
"Booker, d","Swanzey",1,"CHESHIRE COUNTY"
"Boyd, d","Swanzey",0,"CHESHIRE COUNTY"
"Bullock, d","Swanzey",0,"CHESHIRE COUNTY"
"Burke, d","Swanzey",1,"CHESHIRE COUNTY"
"Buttigieg, d","Swanzey",305,"CHESHIRE COUNTY"
"Castro, d","Swanzey",1,"CHESHIRE COUNTY"
"De La Fuente, d","Swanzey",0,"CHESHIRE COUNTY"
